Problem,Contest,Index,Tags
Petya and Java,66,A,"implementation, strings"
Expression,64,B,"*special, expression parsing"
Factorial,64,A,"*special, implementation"
A Student's Dream,62,A,"greedy, math"
Hard Work,61,B,strings
Serial Time!,60,B,"dfs and similar, dsu"
Where Are My Flakes?,60,A,"implementation, two pointers"
Coins,58,B,greedy
Square Earth?,57,A,"dfs and similar, greedy, implementation"
Spoilt Permutation,56,B,implementation
Presents,54,A,implementation
Physical Education,53,D,sortings
Cheaterius's Problem,51,A,implementation
Choosing Symbol Pairs,50,B,strings
Sum,49,B,math
Permutations,48,D,greedy
TCMCF+++,45,I,greedy
Anfisa the Monkey,44,E,dp
Holidays,44,C,implementation
Cola,44,B,implementation
Lucky Tickets,43,C,greedy
Guilty --- to the kitchen!,42,A,"greedy, implementation"
Email address,41,C,"expression parsing, implementation"
Martian Dollar,41,B,brute force
Find Color,40,A,"constructive algorithms, geometry, implementation, math"
Spelling Check,39,J,"hashing, implementation, strings"
Multiplication Table,39,H,implementation
Pacifist frogs,39,F,implementation
Company Income Growth,39,B,greedy
Blinds,38,C,brute force
Extra-terrestrial Intelligence,36,A,implementation
Fire Again,35,C,"brute force, dfs and similar, shortest paths"
Page Numbers,34,C,"expression parsing, implementation, sortings, strings"
Sysadmin Bob,31,B,"greedy, implementation, strings"
Accounting,30,A,"brute force, math"
Traffic Lights,29,B,implementation
Tournament,27,B,"bitmasks, brute force, dfs and similar, greedy"
Regular Bracket Sequence,26,B,greedy
IQ test,25,A,brute force
F1 Champions,24,B,implementation
Ring road,24,A,graphs
Bargaining Table,22,B,"brute force, dp"
World Football Cup,19,A,implementation
Triangle,18,A,"brute force, geometry"
Hierarchy,17,B,"dfs and similar, dsu, greedy, shortest paths"
Cinema Cashier,10,B,"dp, implementation"
Obsession with Robots,8,B,"constructive algorithms, graphs, implementation"
Registration System,4,C,"data structures, hashing, implementation"
Winner,2,A,"hashing, implementation"
